#Time Threads
1929.980957 1
1483.972900 2
1391.225098 3
1409.401123 4
1476.532959 5
1406.057861 6
1380.582031 7
1523.800049 8
1497.673828 9
1364.823975 10
1432.312012 11
1472.687988 12
1439.253906 13
1368.843018 14
1565.754883 15
1556.618896 16
1370.728027 17
1518.785156 18
1397.479004 19
1409.824951 20
1367.367920 21
1546.234131 22
1542.283936 23
1391.653809 24
1586.281006 25
1476.612061 26
1373.723145 27
1461.436035 28
1579.871094 29
1391.164062 30
1410.578125 31
1533.010986 32
